wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-14 05:11,Normal,117.94,123.40,123.13,0.08,0.08,0.11,-25.34,4.27,-32.05,-0.01,-0.00,-0.01,-214.39,-119.37,-42.64,-0.06,-0.03,-0.01,149.00,166.44,227.61,0.04,0.04,0.06,0.43,0.00,0.00,100.00,0.00,0.00,1.92,2.00,1.92
serial: dc:a6:32:89:f2:d0,2023-08-14 05:12,Normal,118.71,124.19,123.92,0.07,0.09,0.11,-23.06,3.06,-28.12,-0.01,0.00,-0.01,-218.08,-126.15,-52.23,-0.06,-0.04,-0.01,146.86,177.62,236.46,0.04,0.05,0.06,0.42,1.71,1.49,100.00,400.00,400.00,1.91,2.00,1.93
serial: dc:a6:32:89:f2:d0,2023-08-14 05:13,Normal,118.42,123.90,123.71,0.07,0.07,0.11,20.56,-12.81,-24.67,0.01,-0.00,-0.01,200.96,-102.40,-54.30,0.06,-0.03,-0.02,148.45,155.80,230.55,0.04,0.04,0.06,0.44,1.70,1.47,100.00,400.00,400.00,0.08,1.97,1.94
serial: dc:a6:32:89:f2:d0,2023-08-14 05:14,Normal,118.66,124.12,123.88,0.08,0.08,0.11,26.18,5.84,-32.53,0.01,0.00,-0.01,210.26,-128.51,-49.72,0.06,-0.04,-0.01,151.58,169.63,228.45,0.04,0.05,0.06,0.45,1.74,1.64,100.00,400.00,400.00,0.08,1.99,1.93
serial: dc:a6:32:89:f2:d0,2023-08-14 05:15,Normal,118.61,124.05,123.83,0.07,0.08,0.11,15.47,-15.26,14.93,0.01,-0.00,0.01,188.42,-110.37,76.28,0.05,-0.03,0.02,147.85,161.42,231.38,0.04,0.05,0.06,0.42,1.72,1.45,100.00,400.00,400.00,0.05,2.00,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:16,Normal,118.54,123.97,123.73,0.08,0.08,0.11,21.47,2.90,25.68,0.01,0.00,0.01,194.91,-128.37,61.53,0.05,-0.04,0.02,150.58,173.01,232.16,0.04,0.05,0.06,0.38,1.46,1.42,100.00,400.00,400.00,0.07,1.99,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:17,Normal,118.58,124.05,123.80,0.08,0.08,0.11,26.52,-4.50,27.59,0.01,-0.00,0.01,216.90,-120.84,51.79,0.06,-0.03,0.01,157.45,166.41,232.48,0.04,0.05,0.06,0.39,1.71,1.69,100.00,400.00,400.00,0.09,2.00,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:18,Normal,118.63,124.07,123.83,0.08,0.08,0.11,8.15,-8.86,6.82,0.01,-0.00,0.00,180.16,-101.51,91.18,0.05,-0.03,0.03,151.06,165.50,235.00,0.04,0.04,0.06,0.40,1.73,1.73,100.00,400.00,400.00,0.05,1.96,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:19,Normal,118.66,124.14,123.90,0.08,0.08,0.11,4.23,1.88,9.27,0.00,0.00,0.00,170.86,-123.35,84.84,0.05,-0.03,0.02,153.14,174.27,229.01,0.04,0.05,0.06,0.36,1.67,1.49,100.00,400.00,400.00,0.04,2.00,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:20,Normal,118.63,124.09,123.88,0.08,0.08,0.11,20.05,-2.20,23.91,0.01,-0.00,0.01,174.99,-110.37,80.41,0.05,-0.03,0.02,151.80,167.70,233.96,0.04,0.05,0.06,0.43,1.62,1.58,100.00,400.00,400.00,0.05,1.98,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:21,Normal,118.56,124.00,123.80,0.08,0.08,0.11,23.86,-13.96,26.91,0.01,-0.00,0.01,207.45,-98.12,58.87,0.06,-0.03,0.02,150.68,161.79,230.05,0.04,0.04,0.06,0.44,1.68,1.40,100.00,400.00,400.00,0.08,1.96,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:22,Normal,118.51,123.97,123.71,0.08,0.08,0.11,30.44,-3.22,36.51,0.01,-0.00,0.01,233.13,-114.50,43.82,0.06,-0.03,0.01,161.06,163.37,231.90,0.04,0.05,0.06,0.37,1.64,1.40,100.00,400.00,400.00,0.10,1.99,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:23,Normal,118.56,124.02,123.78,0.08,0.08,0.11,19.30,-12.12,25.61,0.01,-0.00,0.01,225.90,-97.09,61.23,0.06,-0.03,0.02,150.26,162.62,228.98,0.04,0.05,0.06,0.40,1.74,1.68,100.00,400.00,400.00,0.10,1.96,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:24,Normal,118.44,123.92,123.66,0.08,0.08,0.11,27.86,2.71,32.44,0.01,0.00,0.01,219.99,-120.69,40.58,0.06,-0.03,0.01,152.53,169.27,230.45,0.04,0.05,0.06,0.38,1.60,1.55,100.00,400.00,400.00,0.09,1.99,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:25,Normal,118.51,123.97,123.71,0.08,0.08,0.11,23.07,2.36,27.37,0.01,0.00,0.01,212.76,-130.14,45.15,0.06,-0.04,0.01,149.82,171.33,229.15,0.04,0.05,0.06,0.35,1.53,1.57,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:26,Normal,118.63,124.12,123.85,0.08,0.08,0.11,28.48,2.77,32.46,0.01,0.00,0.01,228.11,-119.51,46.03,0.06,-0.03,0.01,156.61,165.41,226.37,0.04,0.04,0.06,0.41,1.75,1.61,100.00,400.00,400.00,0.10,1.99,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:27,Normal,118.71,124.21,123.97,0.08,0.08,0.11,28.89,-2.81,33.81,0.01,-0.00,0.01,238.88,-117.30,44.56,0.07,-0.03,0.01,160.93,161.04,230.64,0.04,0.05,0.06,0.38,1.65,1.63,100.00,400.00,400.00,0.10,2.00,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:28,Normal,118.80,124.31,124.02,0.08,0.08,0.11,31.44,6.59,35.08,0.01,0.00,0.02,248.18,-132.65,32.46,0.07,-0.04,0.01,157.85,172.85,230.52,0.04,0.05,0.06,0.44,1.62,1.47,100.00,400.00,400.00,0.11,1.98,0.10
serial: dc:a6:32:89:f2:d0,2023-08-14 05:29,Normal,118.71,124.19,123.92,0.08,0.08,0.11,22.70,-9.14,31.62,0.01,-0.00,0.01,201.70,-108.74,56.81,0.06,-0.03,0.02,152.85,162.07,231.26,0.04,0.05,0.06,0.37,1.53,1.53,100.00,400.00,400.00,0.08,1.99,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:30,Normal,118.61,124.12,123.90,0.08,0.08,0.11,24.50,-3.59,29.60,0.01,0.00,0.01,216.45,-116.42,48.54,0.06,-0.03,0.01,155.27,168.20,235.30,0.04,0.05,0.06,0.41,1.44,1.65,100.00,400.00,400.00,0.09,2.00,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:31,Normal,118.73,124.19,123.95,0.08,0.08,0.11,29.11,6.25,37.84,0.01,0.00,0.02,241.98,-125.42,33.94,0.07,-0.03,0.01,156.40,171.63,229.97,0.04,0.05,0.06,0.40,1.69,1.45,100.00,400.00,400.00,0.11,1.98,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 05:32,Normal,118.68,124.14,123.90,0.08,0.08,0.11,29.29,1.54,32.50,0.01,0.00,0.02,239.47,-123.20,36.15,0.07,-0.03,0.01,161.74,165.81,229.66,0.04,0.05,0.06,0.40,1.75,1.64,100.00,400.00,400.00,0.10,1.99,0.09
serial: dc:a6:32:89:f2:d0,2023-08-14 05:33,Normal,118.54,124.02,123.78,0.07,0.08,0.11,17.40,-10.91,24.46,0.01,-0.00,0.01,207.16,-113.32,54.15,0.06,-0.03,0.02,148.64,167.68,234.21,0.04,0.05,0.06,0.41,1.69,1.53,100.00,400.00,400.00,0.08,1.99,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:34,Normal,118.49,123.97,123.76,0.07,0.08,0.11,20.23,-6.19,24.59,0.01,-0.00,0.01,195.06,-114.20,54.00,0.05,-0.03,0.02,146.51,169.87,232.91,0.04,0.05,0.06,0.41,1.78,1.56,100.00,400.00,400.00,0.07,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:35,Normal,118.49,123.92,123.68,0.08,0.08,0.11,21.04,-4.99,19.55,0.01,-0.00,0.01,191.37,-104.17,65.07,0.05,-0.03,0.02,149.62,169.05,232.96,0.04,0.04,0.06,0.44,1.59,1.45,100.00,400.00,400.00,0.07,1.97,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 05:36,Normal,118.56,124.05,123.78,0.08,0.08,0.11,18.94,-15.00,16.89,0.01,-0.01,0.01,191.66,-87.35,79.38,0.05,-0.02,0.02,150.33,168.54,230.61,0.04,0.04,0.06,0.42,1.74,1.61,100.00,400.00,400.00,0.07,1.94,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 05:37,Normal,118.61,124.07,123.83,0.08,0.08,0.11,27.08,-10.75,32.00,0.01,-0.00,0.01,221.47,-109.04,52.23,0.06,-0.03,0.01,158.51,161.80,236.61,0.04,0.04,0.06,0.45,1.69,1.65,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:38,Normal,118.61,124.07,123.80,0.08,0.08,0.11,29.44,0.63,33.25,0.01,-0.00,0.01,224.86,-107.27,46.03,0.06,-0.03,0.01,155.65,170.88,234.56,0.04,0.04,0.06,0.39,1.88,1.68,100.00,400.00,400.00,0.10,1.98,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:39,Normal,118.71,124.17,123.92,0.08,0.08,0.11,29.94,6.67,39.50,0.01,0.00,0.02,252.01,-127.19,29.51,0.07,-0.04,0.01,160.90,171.09,231.11,0.04,0.05,0.06,0.41,1.41,1.43,100.00,400.00,400.00,0.11,1.99,0.10
serial: dc:a6:32:89:f2:d0,2023-08-14 05:40,Normal,118.61,124.07,123.80,0.08,0.08,0.11,29.43,3.41,30.52,0.01,-0.00,0.01,212.47,-114.64,50.31,0.06,-0.03,0.01,156.83,167.32,226.67,0.04,0.05,0.06,0.41,1.70,1.61,100.00,400.00,400.00,0.09,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:41,Normal,118.66,124.12,123.90,0.07,0.08,0.11,21.89,-12.15,23.31,0.01,-0.00,0.01,204.50,-107.86,59.76,0.06,-0.03,0.02,148.36,163.77,227.75,0.04,0.05,0.06,0.36,1.76,1.38,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:42,Normal,118.68,124.17,123.90,0.08,0.08,0.11,22.28,-8.33,21.72,0.01,-0.00,0.01,224.72,-108.89,50.61,0.06,-0.03,0.01,150.49,169.89,230.55,0.04,0.05,0.06,0.39,1.44,1.58,100.00,400.00,400.00,0.10,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:43,Normal,118.56,124.05,123.80,0.08,0.08,0.11,23.78,-18.96,30.98,0.01,-0.01,0.01,214.24,-84.40,64.33,0.06,-0.02,0.02,155.07,157.72,226.30,0.04,0.04,0.06,0.41,1.68,1.33,100.00,400.00,400.00,0.09,1.94,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:44,Normal,118.68,124.14,123.85,0.07,0.10,0.12,-15.04,-52.85,10.92,-0.01,-0.02,0.01,66.40,-41.76,235.78,0.02,-0.01,0.07,142.17,199.68,244.45,0.04,0.05,0.07,0.75,2.05,1.69,100.00,400.00,400.00,0.06,1.86,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:45,Normal,118.66,124.12,123.85,0.07,0.08,0.11,0.63,-25.76,3.73,0.00,-0.01,0.00,140.02,-86.76,119.81,0.04,-0.02,0.03,145.21,175.94,231.11,0.04,0.05,0.06,0.43,1.72,1.38,100.00,400.00,400.00,0.03,1.93,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:46,Normal,118.68,124.19,123.88,0.07,0.08,0.11,17.88,2.78,19.49,0.01,-0.00,0.01,199.48,-101.81,62.71,0.06,-0.03,0.02,145.77,170.47,227.49,0.04,0.04,0.06,0.40,1.59,1.60,100.00,400.00,400.00,0.08,1.97,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 05:47,Normal,118.71,124.21,124.00,0.08,0.08,0.11,24.30,-11.38,23.39,0.01,-0.01,0.01,208.63,-100.48,63.74,0.06,-0.03,0.02,152.82,164.90,233.60,0.04,0.05,0.06,0.39,1.43,1.12,100.00,400.00,400.00,0.08,1.96,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:48,Normal,118.80,124.31,124.05,0.07,0.08,0.11,16.59,-18.79,20.79,0.01,-0.00,0.01,179.86,-107.86,76.13,0.05,-0.03,0.02,146.38,170.11,235.68,0.04,0.05,0.06,0.36,1.65,1.35,100.00,400.00,400.00,0.06,1.97,0.04
serial: dc:a6:32:89:f2:d0,2023-08-14 05:49,Normal,118.51,124.02,123.78,0.07,0.09,0.11,-8.57,-35.53,25.58,-0.00,-0.01,0.01,113.46,-62.27,155.52,0.03,-0.02,0.04,145.54,188.55,231.19,0.04,0.05,0.06,0.35,2.08,1.48,100.00,400.00,400.00,0.02,1.90,0.08
serial: dc:a6:32:89:f2:d0,2023-08-14 05:50,Normal,118.44,123.92,123.68,0.07,0.08,0.11,5.80,-0.42,1.80,0.00,-0.00,0.01,165.25,-107.12,80.41,0.05,-0.03,0.02,145.51,175.20,232.48,0.04,0.05,0.06,0.42,1.66,1.37,100.00,400.00,400.00,0.04,1.97,0.03
serial: dc:a6:32:89:f2:d0,2023-08-14 05:51,Normal,118.51,124.02,123.76,0.07,0.08,0.11,13.88,-11.72,14.98,0.01,-0.00,0.01,183.40,-117.30,70.68,0.05,-0.03,0.02,149.17,167.53,229.90,0.04,0.05,0.06,0.35,1.73,1.52,100.00,400.00,400.00,0.06,1.99,0.04
serial: dc:a6:32:89:f2:d0,2023-08-14 05:52,Normal,118.44,123.95,123.68,0.08,0.08,0.11,21.66,-1.67,18.63,0.01,-0.00,0.01,188.42,-114.20,68.76,0.05,-0.03,0.02,151.83,166.15,228.67,0.04,0.05,0.06,0.41,1.54,1.47,100.00,400.00,400.00,0.06,1.99,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 05:53,Normal,118.46,123.95,123.71,0.08,0.08,0.11,19.85,-15.13,23.43,0.01,-0.00,0.01,201.70,-106.68,62.41,0.06,-0.03,0.02,153.28,165.39,232.45,0.04,0.04,0.06,0.39,1.69,1.52,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:54,Normal,118.42,123.90,123.66,0.08,0.08,0.11,26.87,0.05,31.63,0.01,-0.00,0.01,218.96,-114.05,53.86,0.06,-0.03,0.01,158.82,164.16,231.14,0.04,0.05,0.06,0.37,1.49,1.33,100.00,400.00,400.00,0.09,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 05:55,Normal,118.37,123.88,123.61,0.08,0.08,0.11,17.85,1.19,20.62,0.01,-0.00,0.01,204.65,-114.20,57.25,0.06,-0.03,0.02,152.32,168.62,229.39,0.04,0.05,0.06,0.30,1.65,1.43,100.00,400.00,400.00,0.08,1.99,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 05:56,Normal,118.46,123.97,123.73,0.08,0.08,0.11,9.98,-0.58,10.09,0.00,-0.00,0.00,165.70,-119.96,88.09,0.05,-0.03,0.02,149.20,169.96,230.08,0.04,0.05,0.06,0.34,1.82,1.39,100.00,400.00,400.00,0.04,1.99,0.02
serial: dc:a6:32:89:f2:d0,2023-08-14 05:57,Normal,118.42,123.90,123.68,0.08,0.08,0.11,16.77,-2.56,16.61,0.01,-0.01,0.01,177.94,-92.51,86.17,0.05,-0.03,0.02,150.23,167.24,230.51,0.04,0.05,0.06,0.44,1.57,1.18,100.00,400.00,400.00,0.06,1.95,0.04
serial: dc:a6:32:89:f2:d0,2023-08-14 05:58,Normal,118.37,123.83,123.59,0.08,0.08,0.11,26.58,-4.03,30.71,0.01,-0.00,0.01,187.83,-106.97,71.56,0.05,-0.03,0.02,153.22,165.59,230.92,0.04,0.05,0.06,0.36,1.52,1.49,100.00,400.00,400.00,0.06,1.97,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 05:59,Normal,118.37,123.83,123.61,0.08,0.08,0.11,20.95,-15.66,23.50,0.01,-0.01,0.01,199.48,-78.50,82.92,0.06,-0.02,0.02,149.25,163.12,229.80,0.04,0.04,0.06,0.38,1.49,1.32,100.00,400.00,400.00,0.08,1.93,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:00,Normal,118.46,123.97,123.71,0.07,0.08,0.11,21.18,4.78,22.67,0.01,0.00,0.01,205.68,-132.35,54.15,0.06,-0.04,0.02,148.07,174.88,227.74,0.04,0.05,0.06,0.44,1.78,1.42,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:01,Normal,118.49,123.97,123.73,0.08,0.08,0.11,21.90,5.97,25.66,0.01,0.00,0.01,209.22,-132.50,57.69,0.06,-0.04,0.02,152.05,170.92,226.97,0.04,0.05,0.06,0.43,1.71,1.26,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:02,Normal,118.68,124.17,123.90,0.08,0.08,0.11,33.22,7.07,35.65,0.01,0.00,0.01,225.16,-127.48,50.46,0.06,-0.04,0.01,162.38,167.21,228.84,0.04,0.05,0.06,0.43,1.69,1.39,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:03,Normal,118.87,124.36,124.09,0.08,0.08,0.11,28.47,1.84,35.10,0.01,0.00,0.01,225.75,-132.94,45.59,0.06,-0.04,0.01,156.96,169.90,232.79,0.04,0.05,0.06,0.42,1.52,1.56,100.00,400.00,400.00,0.10,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:04,Normal,118.85,124.36,124.09,0.08,0.08,0.11,22.97,4.73,25.37,0.01,0.00,0.01,226.04,-132.06,52.53,0.06,-0.04,0.01,155.42,169.52,230.70,0.04,0.05,0.06,0.41,1.65,1.39,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:05,Normal,118.83,124.31,124.05,0.08,0.08,0.11,32.34,6.84,39.96,0.01,0.00,0.02,249.06,-128.37,31.13,0.07,-0.04,0.01,168.15,166.39,228.87,0.05,0.04,0.06,0.40,1.48,1.39,100.00,400.00,400.00,0.11,1.98,0.10
serial: dc:a6:32:89:f2:d0,2023-08-14 06:06,Normal,118.78,124.29,124.02,0.08,0.08,0.11,23.30,-0.37,25.17,0.01,0.00,0.01,217.93,-126.30,51.35,0.06,-0.04,0.01,152.89,162.82,226.54,0.04,0.05,0.06,0.43,1.62,1.57,100.00,400.00,400.00,0.09,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:07,Normal,118.68,124.17,123.90,0.08,0.08,0.11,27.22,3.32,30.86,0.01,0.00,0.01,213.50,-124.24,53.41,0.06,-0.03,0.01,157.67,163.22,226.78,0.04,0.05,0.06,0.39,1.68,1.60,100.00,400.00,400.00,0.08,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:08,Normal,118.54,124.05,123.76,0.08,0.08,0.11,29.57,5.38,32.50,0.01,0.00,0.01,217.63,-122.17,46.33,0.06,-0.03,0.01,156.46,173.44,231.44,0.04,0.05,0.06,0.39,1.87,1.54,100.00,400.00,400.00,0.09,2.00,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:09,Normal,118.51,123.97,123.71,0.08,0.08,0.11,13.46,-4.15,17.09,0.01,-0.00,0.01,196.09,-114.50,68.31,0.05,-0.03,0.02,153.86,164.49,231.31,0.04,0.05,0.06,0.44,1.72,1.38,100.00,400.00,400.00,0.07,1.98,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 06:10,Normal,118.46,123.92,123.66,0.08,0.08,0.11,30.56,5.65,34.34,0.01,0.00,0.01,212.03,-136.92,56.07,0.06,-0.04,0.02,165.34,172.12,236.54,0.04,0.05,0.06,0.44,1.62,1.28,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:11,Normal,118.49,124.00,123.71,0.07,0.08,0.11,13.38,3.08,15.56,0.01,0.00,0.01,185.17,-133.97,71.71,0.05,-0.04,0.02,145.81,173.07,227.23,0.04,0.05,0.06,0.43,1.81,1.49,100.00,400.00,400.00,0.06,1.99,0.04
